Title,Price,Year,Mileage,Fuel,Location,Link,Make,Model,Condition,Body Type,Color,Seats
"Toyota Aqua 2018 full option softo leather seat in it ,heating seat",Rs 52.50 Lacs,2018,"99,000 km",Hybrid,"Chaklala, Rawalpindi•",https://www.olx.com.pk/item/toyota-aqua-2018-full-option-softo-leather-seat-in-it-heating-seat-iid-1098963996,,,,,,
Prius,Rs 28 Lacs,2010,"285,601 km",Petrol,"Madina Town, Faisalabad•",https://www.olx.com.pk/item/prius-iid-1105940737,,,,,,
Toyota Prado 2004,Rs 85 Lacs,2004,"95,000 km",Petrol,"9th Avenue, Islamabad•",https://www.olx.com.pk/item/toyota-prado-2004-iid-1105848536,,,,,,
Honda Civic 1997,Rs 9.75 Lac,1997,"10,000 km",Petrol,"Gulshan-e-Iqbal Town, Karachi•",https://www.olx.com.pk/item/honda-civic-1997-iid-1105940682,,,,,,
DFSK Glory 580 Pro Immaculate Condition All Genuine First Owner,Rs 49 Lacs,2021,"57,000 km",Petrol,"Revenue Society, Lahore•",https://www.olx.com.pk/item/dfsk-glory-580-pro-immaculate-condition-all-genuine-first-owner-iid-1105940348,,,,,,
Suzuki Khyber Limited Edition Kheber best then mehran charade fx etc,Rs 3.20 Lac,1992,"12,345 km",Petrol,"North Nazimabad - Block M, Karachi•",https://www.olx.com.pk/item/suzuki-khyber-limited-edition-kheber-best-then-mehran-charade-fx-etc-iid-1105939922,,,,,,
Toyota Corrola Xli,Rs 21 Lacs,2008,"339,571 km",Petrol,"Khankor, Malakand•",https://www.olx.com.pk/item/toyota-corrola-xli-iid-1105643083,,,,,,
MG HS Trophy 2021,Rs 62 Lacs,2021,"55,000 km",Petrol,"Bahria Orchard, Lahore•",https://www.olx.com.pk/item/mg-hs-trophy-2021-iid-1105940232,,,,,,
Suzuki Alto 2008,Rs 8.25 Lac,2008,"10,000 km",Petrol,"Federal B Area, Karachi•",https://www.olx.com.pk/item/suzuki-alto-2008-iid-1105939900,,,,,,
Honda Civic X Red Meter,Rs 54.50 Lacs,2018,"67,800 km",Petrol,"Valencia Town, Lahore•",https://www.olx.com.pk/item/honda-civic-x-red-meter-iid-1105939806,,,,,,
Gli 16/17 shower,Rs 33 Lacs,2016,"140,000 km",Petrol,"Ali Garden, Faisalabad•",https://www.olx.com.pk/item/gli-1617-shower-iid-1105038875,,,,,,
Honda Civic Oriel 1.8 i-VTEC CVT 2017,Rs 53 Lacs,2017,"85,000 km",Petrol,"Hayatabad, Peshawar•",https://www.olx.com.pk/item/honda-civic-oriel-18-i-vtec-cvt-2017-iid-1105939575,,,,,,
Toyota Carolla se sallon automatic,Rs 21.50 Lacs,2004,"161,000 km",Petrol,"North Nazimabad - Block H, Karachi•",https://www.olx.com.pk/item/toyota-carolla-se-sallon-automatic-iid-1104278555,,,,,,
